purchase_id,user_id,product_id,vendor_id,amount_spent,label
1,16,9,16,52.83,0
2,91,26,4,54.71,0
3,28,11,13,93.73,0
4,98,14,11,452.9,0
5,162,76,1,379.47,0
6,142,8,3,70.32,0
7,91,66,5,95.41,0
8,175,100,20,255.36,0
9,131,100,17,131.73,0
10,63,91,16,81.35,0
11,37,65,17,88.81,0
12,24,53,7,381.81,0
13,33,51,4,34.73,0
14,173,87,13,76.77,0
15,155,71,15,516.7,0
16,157,15,8,89.57,0
17,125,64,18,200.63,0
18,142,83,16,212.81,0
19,12,87,1,75.01,0
20,60,68,17,602.07,0
21,137,86,18,95.28,0
22,83,88,16,55.19,0
23,76,4,14,466.17,0
24,88,65,3,104.58,0
25,145,65,16,100.25,0
26,88,79,3,175.55,0
27,104,99,9,58.3,0
28,61,61,11,192.79,0
29,35,84,16,483.52,0
30,10,2,8,125.76,0
31,180,70,10,219.9,0
32,97,10,14,98.52,0
33,36,31,3,216.25,1
34,138,3,10,322.33,0
35,2,66,15,121.62,0
36,191,88,17,105.71,0
37,110,88,18,78.71,0
38,30,19,4,297.37,0
39,12,99,17,83.54,0
40,192,79,20,183.42,0
41,7,90,8,63.43,1
42,165,26,3,62.8,0
43,185,92,14,174.43,0
44,124,97,18,104.78,0
45,160,62,10,129.48,0
46,14,6,19,154.89,0
47,165,6,15,111.49,0
48,94,26,12,67.0,0
49,138,10,3,74.23,0
50,119,19,13,443.16,0
51,28,72,14,278.2,0
52,89,58,9,152.24,0
53,71,77,16,165.95,0
54,61,13,16,57.7,0
55,43,58,17,124.85,0
56,4,64,3,111.26,0
57,154,70,7,458.9,0
58,55,96,6,272.87,0
59,76,12,6,86.21,0
60,189,16,11,245.29,0
61,33,13,2,71.18,0
62,82,40,3,128.58,0
63,27,73,2,66.69,0
64,195,58,2,218.51,0
65,149,91,14,141.09,0
66,31,25,5,106.58,0
67,52,48,14,168.41,0
68,46,43,12,138.45,0
69,189,84,9,254.58,0
70,135,79,18,203.06,0
71,93,76,3,351.2,0
72,158,90,11,51.47,0
73,91,41,8,296.15,0
74,41,43,1,93.93,0
75,162,52,15,156.28,0
76,44,98,14,474.67,0
77,34,22,18,27.5,1
78,66,21,11,145.93,0
79,136,87,13,64.82,0
80,147,40,7,80.45,1
81,82,8,19,124.66,0
82,177,64,6,108.62,0
83,24,62,20,106.22,0
84,90,3,2,238.89,0
85,94,7,8,473.15,0
86,35,48,19,254.99,0
87,186,95,12,66.58,1
88,6,53,11,471.04,1
89,85,79,3,167.7,0
90,131,55,17,380.24,0
91,7,25,7,105.5,0
92,84,81,17,230.04,0
93,10,8,8,143.85,0
94,25,18,2,150.16,0
95,108,67,7,79.53,0
96,88,100,4,214.48,0
97,59,46,6,328.57,0
98,4,3,20,147.0,0
99,22,47,9,366.68,0
100,125,7,4,223.21,0
101,21,96,20,247.6,0
102,33,16,4,156.39,0
103,146,76,1,260.78,0
104,141,73,12,34.6,0
105,41,1,14,221.87,0
106,144,47,5,282.52,0
107,167,55,1,194.29,0
108,179,33,16,17.4,0
109,158,5,8,195.06,0
110,37,2,14,185.62,0
111,7,34,20,435.95,0
112,71,85,20,254.86,0
113,121,54,20,334.9,1
114,178,68,11,635.74,0
115,91,34,15,299.13,0
116,104,70,13,486.6,0
117,104,100,7,218.69,0
118,130,47,12,428.21,0
119,126,96,16,289.39,0
120,119,26,18,58.56,0
121,121,76,5,214.73,0
122,173,74,5,188.69,0
123,125,82,5,342.0,0
124,175,22,3,17.29,0
125,190,54,18,349.87,0
126,120,24,17,117.21,0
127,193,43,5,87.28,0
128,36,16,2,248.35,0
129,90,28,11,302.96,0
