user_id,age,region,account_type,preferred_device
1,56,South,Enterprise,Tablet
2,69,West,Enterprise,Mobile
3,46,East,Premium,Mobile
4,32,North,Free,Tablet
5,60,South,Premium,Desktop
6,25,North,Free,Desktop
7,38,North,Enterprise,Mobile
8,56,East,Free,Tablet
9,36,South,Free,Desktop
10,40,West,Free,Tablet
11,28,West,Enterprise,Tablet
12,28,East,Enterprise,Mobile
13,41,East,Free,Desktop
14,53,South,Free,Mobile
15,57,West,Premium,Desktop
16,41,West,Free,Desktop
17,20,West,Premium,Desktop
18,39,North,Free,Desktop
19,19,West,Premium,Desktop
20,41,North,Enterprise,Tablet
21,61,South,Free,Mobile
22,47,North,Free,Tablet
23,55,South,Free,Desktop
24,19,West,Free,Mobile
25,38,West,Premium,Desktop
26,50,South,Free,Mobile
27,29,East,Enterprise,Tablet
28,39,South,Enterprise,Mobile
29,61,East,Free,Mobile
30,42,North,Enterprise,Mobile
31,66,North,Free,Mobile
32,44,North,Free,Mobile
33,59,West,Enterprise,Desktop
34,45,North,Free,Mobile
35,33,East,Enterprise,Mobile
36,32,North,Premium,Tablet
37,64,South,Free,Mobile
38,68,South,Premium,Tablet
39,61,West,Enterprise,Desktop
40,69,South,Premium,Mobile
41,20,East,Premium,Tablet
42,54,North,Enterprise,Tablet
43,68,West,Premium,Desktop
44,24,North,Premium,Mobile
45,38,North,Enterprise,Mobile
46,26,East,Premium,Tablet
47,56,South,Enterprise,Mobile
48,35,South,Premium,Tablet
49,21,North,Enterprise,Mobile
50,42,West,Enterprise,Tablet
51,31,South,Premium,Mobile
52,67,West,Premium,Desktop
53,26,South,Premium,Mobile
54,43,West,Free,Mobile
55,19,East,Free,Desktop
56,37,West,Free,Mobile
57,45,East,Enterprise,Desktop
58,64,East,Premium,Mobile
59,24,West,Enterprise,Tablet
60,61,East,Free,Tablet
61,25,North,Premium,Mobile
62,64,East,Enterprise,Mobile
63,52,South,Premium,Mobile
64,31,West,Enterprise,Tablet
65,34,North,Premium,Mobile
66,53,West,Free,Tablet
67,67,South,Free,Desktop
68,57,South,Premium,Tablet
69,21,South,Enterprise,Tablet
70,19,East,Free,Desktop
71,23,East,Free,Tablet
72,59,West,Free,Mobile
73,21,West,Premium,Mobile
74,46,North,Premium,Tablet
75,35,North,Enterprise,Mobile
76,43,West,Enterprise,Tablet
77,61,East,Enterprise,Mobile
78,51,South,Premium,Mobile
79,27,West,Premium,Tablet
80,53,North,Enterprise,Mobile
81,31,East,Enterprise,Tablet
82,48,West,Premium,Mobile
83,65,West,Enterprise,Mobile
84,32,East,Free,Desktop
85,25,West,Premium,Desktop
86,31,East,Enterprise,Tablet
87,40,South,Premium,Desktop
88,57,East,Free,Tablet
89,38,East,Premium,Desktop
90,33,East,Premium,Mobile
91,62,West,Premium,Tablet
92,35,West,Premium,Tablet
93,64,East,Free,Mobile
